Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),0.470,0.440,0.390,0.480,0.640,0.800,0.850,0.890,0.940,0.560,0.725,0.833
Cambodia,KHM,Pump price for gasoline (US$ per liter),0.470,0.610,0.630,0.790,1.010,0.940,1.150,1.350,1.340,0.900,1.125,1.233
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),0.930,0.920,1.090,1.350,1.650,1.510,1.520,1.800,1.550,1.220,1.510,1.530
Kuwait,KWT,Pump price for gasoline (US$ per liter),0.170,0.210,0.200,0.240,0.220,0.240,0.230,0.230,0.220,0.350,0.290,0.255
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),0.500,0.620,0.550,0.720,0.890,0.870,1.065,1.280,1.200,0.980,1.130,1.165
Lao PDR,LAO,Pump price for gasoline (US$ per liter),0.310,0.410,0.360,0.540,0.860,0.920,1.260,1.330,1.400,0.930,1.130,1.265
Lebanon,LBN,Pump price for gasoline (US$ per liter),0.350,0.530,0.650,0.710,0.740,0.760,1.130,1.110,0.960,0.740,0.925,0.943
Liberia,LBR,Pump price for gasoline (US$ per liter),,,,0.750,0.790,0.770,0.980,1.170,0.910,0.800,0.985,0.948
Libya,LBY,Pump price for gasoline (US$ per liter),0.220,0.250,0.100,0.090,0.120,0.140,0.170,0.120,,0.110,0.115,0.058
Latin America & Caribbean,LCN,Pump price for gasoline (US$ per liter),0.490,0.620,0.545,0.705,0.915,0.890,1.065,1.280,1.200,0.920,1.100,1.150
Least developed countries: UN classification,LDC,Pump price for gasoline (US$ per liter),0.570,0.640,0.605,0.800,1.010,1.130,1.180,1.340,1.340,0.960,1.150,1.245
Low income,LIC,Pump price for gasoline (US$ per liter),0.610,0.680,0.580,0.900,1.110,1.230,1.300,1.410,1.385,0.965,1.188,1.286
Liechtenstein,LIE,Pump price for gasoline (US$ per liter),0.850,0.810,0.890,1.290,1.270,1.300,1.660,1.880,1.740,,0.940,1.340
Sri Lanka,LKA,Pump price for gasoline (US$ per liter),0.840,0.660,0.540,0.720,0.880,1.430,1.190,1.290,1.270,0.880,1.085,1.178
Lower middle income,LMC,Pump price for gasoline (US$ per liter),0.470,0.530,0.520,0.685,0.850,0.930,1.075,1.250,1.140,0.905,1.078,1.109
Low & middle income,LMY,Pump price for gasoline (US$ per liter),0.470,0.550,0.540,0.740,0.890,1.030,1.110,1.290,1.225,0.920,1.105,1.165
Lesotho,LSO,Pump price for gasoline (US$ per liter),0.390,0.500,,0.730,0.890,0.790,0.970,1.240,1.030,0.700,0.970,1.000
Late-demographic dividend,LTE,Pump price for gasoline (US$ per liter),0.470,0.540,0.500,0.725,0.920,1.085,1.200,1.380,1.270,0.880,1.130,1.200
Lithuania,LTU,Pump price for gasoline (US$ per liter),0.510,0.660,0.690,1.030,1.080,1.130,1.590,1.830,1.570,1.160,1.495,1.533
Luxembourg,LUX,Pump price for gasoline (US$ per liter),0.780,0.750,0.760,1.190,1.290,1.400,1.550,1.640,1.520,1.190,1.415,1.468
Latvia,LVA,Pump price for gasoline (US$ per liter),0.550,0.670,0.700,0.940,1.200,1.120,1.480,1.800,1.480,1.160,1.480,1.480
Morocco,MAR,Pump price for gasoline (US$ per liter),0.790,0.820,0.870,1.100,1.220,1.290,1.230,1.420,1.380,0.990,1.205,1.293
Monaco,MCO,Pump price for gasoline (US$ per liter),,,,,,1.640,1.920,2.230,2.000,,1.115,1.558
Moldova,MDA,Pump price for gasoline (US$ per liter),,,,,,1.200,1.210,1.420,1.210,0.800,1.110,1.160
Madagascar,MDG,Pump price for gasoline (US$ per liter),0.470,0.760,1.080,1.050,1.150,1.550,1.520,1.490,1.350,1.110,1.300,1.325
Maldives,MDV,Pump price for gasoline (US$ per liter),,,,,,,0.840,1.100,1.630,,0.550,1.090
Middle East & North Africa,MEA,Pump price for gasoline (US$ per liter),0.310,0.290,0.290,0.310,0.320,0.450,0.480,0.525,0.830,0.550,0.538,0.684
Mexico,MEX,Pump price for gasoline (US$ per liter),0.360,0.610,0.620,0.590,0.740,0.740,0.810,0.860,1.030,0.730,0.795,0.913
Middle income,MIC,Pump price for gasoline (US$ per liter),0.465,0.530,0.520,0.690,0.860,0.950,1.090,1.285,1.205,0.910,1.098,1.151
North Macedonia,MKD,Pump price for gasoline (US$ per liter),0.700,0.760,0.850,1.170,1.230,1.150,1.520,1.750,1.490,1.110,1.430,1.460
Mali,MLI,Pump price for gasoline (US$ per liter),0.770,0.700,0.690,1.160,1.220,1.300,1.420,1.410,1.470,1.120,1.265,1.368
Malta,MLT,Pump price for gasoline (US$ per liter),0.770,0.810,0.870,1.180,1.380,1.660,1.630,1.920,1.800,1.360,1.640,1.720
