Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Haiti,HTI,Pump price for gasoline (US$ per liter),0.59,0.64,0.54,0.88,1.11,1.16,1.22,1.25,1.16,0.81,1.03,1.095
Hungary,HUN,Pump price for gasoline (US$ per liter),0.72,0.81,0.94,1.3,1.3,1.27,1.67,1.84,1.58,1.18,1.51,1.545
IBRD only,IBD,Pump price for gasoline (US$ per liter),0.42,0.53,0.49,0.67,0.825,0.91,1.095,1.29,1.17,0.83,1.06,1.115
IDA & IBRD total,IBT,Pump price for gasoline (US$ per liter),0.47,0.555,0.53,0.73,0.89,1.03,1.12,1.295,1.24,0.92,1.108,1.174
IDA total,IDA,Pump price for gasoline (US$ per liter),0.51,0.58,0.55,0.8,0.98,1.115,1.155,1.32,1.305,0.95,1.135,1.22
IDA blend,IDB,Pump price for gasoline (US$ per liter),0.5,0.535,0.53,0.8,0.98,1.175,1.235,1.37,1.225,1.02,1.195,1.21
Indonesia,IDN,Pump price for gasoline (US$ per liter),0.16,0.17,0.27,0.27,0.57,0.5,0.79,0.47,0.93,0.63,0.55,0.74
IDA only,IDX,Pump price for gasoline (US$ per liter),0.52,0.62,0.57,0.8,0.98,1.075,1.15,1.31,1.33,0.93,1.12,1.225
India,IND,Pump price for gasoline (US$ per liter),0.56,0.6,0.66,0.87,1.01,1.09,1.15,1.25,1.1,0.97,1.11,1.105
Ireland,IRL,Pump price for gasoline (US$ per liter),1.02,0.72,0.9,1.29,1.34,1.56,1.78,2.02,1.92,1.37,1.695,1.808
"Iran, Islamic Rep.",IRN,Pump price for gasoline (US$ per liter),0.08,0.05,0.07,0.09,0.09,0.1,0.097,0.33,0.374,0.399,0.365,0.369
Iraq,IRQ,Pump price for gasoline (US$ per liter),0.43,0.44,0.51,0.56,0.64,0.71,0.78,0.56,0.43,0.61,0.305,0.368
Iceland,ISL,Pump price for gasoline (US$ per liter),1.12,1.05,1.16,1.64,1.86,1.15,1.71,1.99,1.85,1.69,1.84,1.845
Israel,ISR,Pump price for gasoline (US$ per liter),0.86,1.14,0.9,1.05,1.47,1.37,1.85,2.01,1.88,1.57,1.79,1.835
Italy,ITA,Pump price for gasoline (US$ per liter),1.19,0.97,1.05,1.53,1.56,1.57,1.87,2.28,2.14,1.61,1.945,2.043
Jamaica,JAM,Pump price for gasoline (US$ per liter),0.37,0.62,0.52,0.63,0.82,0.74,0.98,1.2,1.14,1.11,1.155,1.148
Jordan,JOR,Pump price for gasoline (US$ per liter),0.42,0.45,0.52,0.61,0.86,0.61,1.04,1.44,1.27,1.1,1.27,1.27
Japan,JPN,Pump price for gasoline (US$ per liter),1.02,1.06,0.91,1.26,1.09,1.42,1.6,2,1.38,1.06,1.53,1.455
Kazakhstan,KAZ,Pump price for gasoline (US$ per liter),0.3,0.36,0.35,0.52,0.7,0.83,0.71,1.01,0.81,0.42,0.715,0.763
Kenya,KEN,Pump price for gasoline (US$ per liter),0.7,0.71,0.7,0.92,1.12,1.2,1.33,1.37,1.21,0.95,1.16,1.185
Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),0.47,0.44,0.39,0.48,0.64,0.8,0.85,0.89,0.94,0.56,0.725,0.833
